amount_requested,amount_funded_by_investors,interest_rate,loan_length,loan_purpose,debt_to_income_ratio,home_ownership,monthly_income,fico_range,open_credit_lines,revolving_credit_balance,employment_length
18000.0,18000.0,24.26,60.0,moving,14.88,RENT,4000.0,667.0,10.0,7377.0,8.0
12000.0,11875.0,8.9,36.0,debt_consolidation,12.06,RENT,5000.0,717.0,11.0,14717.0,4.0
24000.0,24000.0,7.62,36.0,home_improvement,14.22,MORTGAGE,6833.33,762.0,8.0,11058.0,11.0
5000.0,5000.0,12.12,36.0,credit_card,11.08,RENT,1833.33,687.0,7.0,5408.0,11.0
6500.0,5329.76,11.89,36.0,debt_consolidation,8.57,RENT,1750.0,722.0,8.0,9317.0,6.0
16000.0,15825.0,16.82,36.0,credit_card,20.3,MORTGAGE,6250.0,667.0,18.0,30772.0,1.0
7300.0,7300.0,7.88,36.0,credit_card,11.78,RENT,3090.5,737.0,5.0,13459.0,7.0
25000.0,20850.0,15.58,60.0,small_business,0.6,MORTGAGE,5666.67,787.0,2.0,0.0,11.0
19400.0,19400.0,23.28,60.0,credit_card,9.3,MORTGAGE,6000.0,662.0,5.0,28921.0,11.0
11625.0,11625.0,15.8,36.0,debt_consolidation,31.12,RENT,2860.0,682.0,14.0,8374.0,7.0
10000.0,10000.0,12.12,36.0,debt_consolidation,12.46,MORTGAGE,4375.0,697.0,7.0,11070.0,5.0
24000.0,24000.0,6.54,36.0,debt_consolidation,5.62,MORTGAGE,9583.33,757.0,9.0,22725.0,3.0
3000.0,3000.0,11.14,36.0,small_business,1.7,MORTGAGE,7750.0,687.0,7.0,874.0,11.0
19000.0,19000.0,11.71,60.0,credit_card,13.79,MORTGAGE,4791.67,732.0,9.0,16348.0,5.0
2500.0,2500.0,15.31,36.0,home_improvement,22.81,RENT,2530.0,672.0,7.0,5276.0,0.5
12000.0,12000.0,12.12,36.0,debt_consolidation,14.66,MORTGAGE,5000.0,712.0,11.0,13235.0,2.0
17350.0,7019.25,13.55,36.0,debt_consolidation,18.52,OWN,3666.67,677.0,8.0,18966.0,6.0
24000.0,14860.05,13.61,60.0,debt_consolidation,10.77,MORTGAGE,7750.0,717.0,11.0,2594.0,5.0
21000.0,21000.0,14.27,60.0,debt_consolidation,11.27,MORTGAGE,5333.33,712.0,8.0,19431.0,8.0
12000.0,12000.0,13.11,36.0,credit_card,6.1,MORTGAGE,4833.33,667.0,9.0,12025.0,9.0
5000.0,0.0,8.63,36.0,debt_consolidation,1.92,RENT,2600.0,732.0,13.0,814.0,8.0
5000.0,5000.0,9.32,36.0,home_improvement,3.89,MORTGAGE,2083.33,777.0,4.0,3901.0,4.0
20000.0,18126.99,11.99,60.0,debt_consolidation,20.24,MORTGAGE,4500.0,742.0,15.0,26424.0,11.0
12000.0,12000.0,16.89,60.0,small_business,15.24,MORTGAGE,7500.0,677.0,14.0,28589.0,3.0
8000.0,8000.0,17.27,36.0,debt_consolidation,27.88,RENT,2833.33,672.0,10.0,9926.0,6.0
1900.0,1900.0,7.29,36.0,other,23.05,RENT,2208.33,727.0,11.0,8508.0,3.0
23300.0,23275.0,23.83,60.0,debt_consolidation,33.56,MORTGAGE,12041.675,662.0,15.0,39114.0,9.0
8400.0,6725.0,15.45,36.0,debt_consolidation,15.71,RENT,7083.33,642.0,7.0,14578.0,0.5
8000.0,8000.0,14.09,36.0,debt_consolidation,21.0,OWN,3500.0,677.0,12.0,7498.0,1.0
10000.0,10000.0,12.12,36.0,debt_consolidation,19.58,RENT,6250.0,697.0,17.0,16348.0,5.0
1600.0,1600.0,13.11,36.0,debt_consolidation,18.99,MORTGAGE,3459.0,672.0,9.0,6281.0,11.0
7200.0,7200.0,15.8,36.0,debt_consolidation,25.32,MORTGAGE,3333.33,677.0,13.0,8903.0,6.0
15000.0,15000.0,17.77,36.0,debt_consolidation,13.34,MORTGAGE,4333.33,672.0,9.0,17264.0,11.0
15400.0,9458.33,16.32,60.0,house,15.17,RENT,6500.0,697.0,11.0,9989.0,4.0
15000.0,15000.0,17.27,36.0,debt_consolidation,33.3,RENT,3000.0,672.0,20.0,15092.0,11.0
12000.0,12000.0,9.88,36.0,educational,5.16,MORTGAGE,3333.33,757.0,7.0,1117.0,3.0
21000.0,21000.0,18.75,60.0,home_improvement,11.31,MORTGAGE,10250.0,697.0,12.0,38820.0,11.0
6000.0,5950.0,10.0,36.0,major_purchase,8.74,MORTGAGE,12041.675,717.0,9.0,39114.0,11.0
12000.0,12000.0,6.62,36.0,home_improvement,4.81,MORTGAGE,9833.33,792.0,15.0,5584.0,11.0
7000.0,6975.0,6.91,36.0,vacation,21.23,RENT,3000.0,717.0,12.0,10784.0,5.0
5000.0,5000.0,8.9,36.0,credit_card,15.93,MORTGAGE,6666.67,707.0,10.0,12307.0,7.0
10000.0,10000.0,13.11,36.0,debt_consolidation,18.96,RENT,8744.26,682.0,16.0,27086.0,0.5
5000.0,4975.0,16.7,36.0,other,2.67,RENT,3000.0,692.0,4.0,2474.0,1.0
12000.0,11341.5,6.91,36.0,debt_consolidation,17.92,RENT,5200.0,712.0,16.0,8182.0,0.5
5000.0,5000.0,15.99,36.0,debt_consolidation,5.26,MORTGAGE,2416.67,667.0,5.0,1620.0,6.0
16000.0,16000.0,15.31,36.0,debt_consolidation,19.92,RENT,6000.0,692.0,11.0,10915.0,7.0
16000.0,16000.0,17.27,60.0,major_purchase,19.26,RENT,7000.0,697.0,7.0,5231.0,11.0
10000.0,10000.0,6.62,36.0,debt_consolidation,24.24,RENT,3750.0,767.0,9.0,1623.0,2.0
10000.0,10000.0,9.76,36.0,debt_consolidation,18.31,RENT,2916.67,727.0,6.0,5670.0,11.0
20500.0,20500.0,12.12,36.0,credit_card,30.95,MORTGAGE,4333.33,707.0,14.0,33294.0,11.0
21000.0,21000.0,19.22,60.0,credit_card,13.87,MORTGAGE,6000.0,682.0,10.0,17008.0,11.0
24375.0,24375.0,13.99,36.0,debt_consolidation,13.64,MORTGAGE,11500.0,697.0,16.0,35461.0,11.0
7000.0,7000.0,7.4,36.0,credit_card,8.89,MORTGAGE,3352.0,772.0,14.0,14014.0,0.5
20000.0,20000.0,8.9,36.0,debt_consolidation,14.9,MORTGAGE,6541.67,737.0,14.0,14272.0,0.5
18000.0,18000.0,10.16,36.0,debt_consolidation,16.71,MORTGAGE,6666.67,687.0,16.0,19850.0,6.0
5000.0,5000.0,9.63,36.0,educational,11.81,MORTGAGE,9166.67,732.0,16.0,23658.0,11.0
18000.0,17975.0,11.71,36.0,debt_consolidation,10.34,RENT,3540.0,702.0,8.0,14960.0,0.5
5875.0,5875.0,7.9,36.0,other,14.75,RENT,5416.67,722.0,15.0,2617.0,4.0
12000.0,12000.0,12.12,36.0,debt_consolidation,26.96,RENT,3833.33,692.0,15.0,6038.0,4.0
5000.0,5000.0,13.48,36.0,educational,11.21,RENT,3800.0,712.0,4.0,1575.0,3.0
14000.0,12800.0,14.79,60.0,other,8.37,RENT,6166.67,712.0,5.0,2697.0,0.5
5000.0,5000.0,15.31,36.0,debt_consolidation,17.37,RENT,1750.0,677.0,3.0,10361.0,0.5
5000.0,5000.0,5.42,36.0,wedding,23.15,RENT,2833.33,752.0,7.0,4573.0,3.0
10000.0,10000.0,17.27,36.0,credit_card,21.84,MORTGAGE,2916.67,667.0,18.0,21245.0,11.0
20000.0,20000.0,7.9,36.0,credit_card,1.3,RENT,10400.0,752.0,5.0,6969.0,1.0
19000.0,19000.0,9.76,36.0,debt_consolidation,16.43,RENT,3833.33,727.0,10.0,22033.0,7.0
15000.0,15000.0,11.14,36.0,credit_card,15.51,MORTGAGE,8750.0,692.0,9.0,15207.0,11.0
3000.0,2925.0,11.49,36.0,debt_consolidation,9.22,RENT,4900.0,692.0,6.0,3996.0,11.0
2500.0,2275.77,7.68,36.0,major_purchase,17.59,MORTGAGE,3666.67,787.0,6.0,406.0,11.0
5500.0,5500.0,15.99,60.0,debt_consolidation,17.95,RENT,4250.0,702.0,16.0,13256.0,11.0
4800.0,4775.0,5.79,36.0,car,11.71,RENT,2800.0,737.0,6.0,9228.0,3.0
10000.0,10000.0,12.12,36.0,debt_consolidation,20.16,RENT,5833.33,697.0,16.0,25687.0,4.0
16000.0,15875.0,13.85,36.0,debt_consolidation,12.5,RENT,6750.0,687.0,12.0,6799.0,7.0
15000.0,10765.99,7.88,36.0,credit_card,3.9,RENT,10000.0,757.0,8.0,6055.0,5.0
10000.0,10000.0,9.91,36.0,credit_card,14.98,RENT,5000.0,712.0,8.0,16908.0,11.0
15000.0,15000.0,7.9,36.0,credit_card,21.54,OWN,5000.0,732.0,8.0,21555.0,2.0
7000.0,6875.0,10.36,36.0,major_purchase,13.94,RENT,5000.0,692.0,5.0,1364.0,11.0
20950.0,20950.0,15.8,36.0,debt_consolidation,15.71,MORTGAGE,12041.675,692.0,8.0,30188.0,4.0
13000.0,13000.0,6.62,36.0,car,5.95,MORTGAGE,11666.67,752.0,16.0,11451.0,7.0
7500.0,7500.0,5.42,36.0,home_improvement,22.26,MORTGAGE,2583.33,787.0,11.0,2160.0,11.0
15000.0,15000.0,14.33,36.0,debt_consolidation,33.42,RENT,4500.0,677.0,20.0,13369.0,0.5
6000.0,6000.0,17.77,36.0,credit_card,32.76,OWN,1666.67,667.0,12.0,15055.0,0.5
14400.0,14400.0,6.62,36.0,home_improvement,6.71,MORTGAGE,12041.675,772.0,6.0,1280.0,11.0
14675.0,14675.0,7.9,36.0,debt_consolidation,17.4,MORTGAGE,3166.67,722.0,7.0,22549.0,11.0
5000.0,5000.0,8.49,36.0,debt_consolidation,22.53,MORTGAGE,3000.0,722.0,9.0,3388.0,11.0
24000.0,24000.0,12.69,36.0,other,19.53,RENT,4583.33,712.0,5.0,21377.0,5.0
24000.0,24000.0,15.8,60.0,debt_consolidation,16.73,MORTGAGE,7500.0,667.0,10.0,24126.0,7.0
24500.0,24450.0,11.83,36.0,house,13.42,OWN,12041.675,794.5,10.0,346.0,11.0
25000.0,25000.0,14.33,36.0,credit_card,27.88,OWN,5416.67,712.0,11.0,18460.0,11.0
20000.0,20000.0,8.9,36.0,credit_card,10.79,RENT,12041.675,682.0,8.0,25672.0,1.0
25000.0,24975.0,20.5,36.0,credit_card,14.72,RENT,7301.58,672.0,18.0,21675.0,4.0
33712.5,32125.0,21.0,36.0,debt_consolidation,11.05,MORTGAGE,7702.0,672.0,8.0,11346.0,11.0
3600.0,3600.0,12.87,36.0,debt_consolidation,1.58,MORTGAGE,6333.0,692.0,6.0,12135.0,0.5
24000.0,24000.0,12.12,36.0,debt_consolidation,29.01,MORTGAGE,7500.0,672.0,12.0,14804.0,0.5
15000.0,15000.0,14.65,60.0,credit_card,17.21,RENT,4583.33,732.0,4.0,13115.0,8.0
11200.0,11200.0,21.74,60.0,debt_consolidation,6.3,RENT,5583.33,662.0,12.0,7952.0,11.0
10000.0,10000.0,19.05,36.0,other,17.95,MORTGAGE,3750.0,677.0,10.0,7034.0,6.0
30000.0,30000.0,17.77,36.0,other,9.41,RENT,10192.0,712.0,12.0,24188.0,0.5
3200.0,766.09,12.86,36.0,other,14.77,RENT,2824.0,672.0,6.0,3318.0,7.0
8000.0,8000.0,14.33,36.0,vacation,4.48,RENT,6250.0,672.0,8.0,14607.0,1.0
16000.0,16000.0,7.9,36.0,debt_consolidation,2.23,MORTGAGE,7083.33,742.0,11.0,3076.0,5.0
7000.0,7000.0,15.31,36.0,credit_card,15.64,RENT,2666.67,672.0,11.0,11529.0,5.0
3000.0,3000.0,7.9,36.0,credit_card,22.03,MORTGAGE,5583.33,707.0,15.0,12968.0,3.0
6000.0,6000.0,15.96,36.0,credit_card,22.1,RENT,5583.33,667.0,9.0,36748.0,5.0
14400.0,14400.0,10.74,36.0,debt_consolidation,5.9,MORTGAGE,6833.33,702.0,15.0,10017.0,11.0
11700.0,11650.0,7.66,36.0,debt_consolidation,12.13,MORTGAGE,4583.33,747.0,13.0,26769.0,11.0
12000.0,12000.0,17.99,36.0,debt_consolidation,17.37,MORTGAGE,3666.67,672.0,10.0,7393.0,7.0
11500.0,11500.0,11.14,36.0,debt_consolidation,10.47,RENT,2916.67,702.0,6.0,9562.0,0.5
18000.0,18000.0,23.28,60.0,debt_consolidation,9.05,RENT,7083.33,662.0,6.0,13106.0,11.0
25000.0,23477.53,18.64,60.0,debt_consolidation,14.61,MORTGAGE,5833.33,697.0,8.0,13785.0,11.0
6000.0,6000.0,7.9,36.0,house,6.68,RENT,10416.67,712.0,9.0,20592.0,11.0
5000.0,5000.0,18.39,36.0,vacation,13.71,RENT,8125.0,677.0,5.0,29602.0,11.0
8500.0,8475.0,6.03,36.0,home_improvement,12.33,MORTGAGE,6100.0,747.0,17.0,6370.0,11.0
10000.0,10000.0,7.62,36.0,medical,13.26,MORTGAGE,7416.67,737.0,12.0,16297.0,11.0
16500.0,16175.0,12.23,60.0,home_improvement,6.41,MORTGAGE,5833.33,717.0,8.0,30455.0,0.5
16550.0,16550.0,17.27,36.0,debt_consolidation,32.56,MORTGAGE,4333.33,677.0,15.0,12163.0,11.0
10000.0,9850.0,9.88,36.0,debt_consolidation,17.04,MORTGAGE,4500.0,732.0,8.0,6948.0,4.0
5000.0,5000.0,7.51,36.0,debt_consolidation,9.53,MORTGAGE,4333.33,757.0,5.0,1825.0,7.0
6000.0,6000.0,10.75,36.0,debt_consolidation,12.05,RENT,6000.0,722.0,14.0,25090.0,11.0
8000.0,8000.0,6.03,36.0,debt_consolidation,4.51,MORTGAGE,3500.0,794.5,9.0,6737.0,11.0
12000.0,12000.0,13.11,36.0,debt_consolidation,17.51,MORTGAGE,9666.67,682.0,12.0,17226.0,5.0
13250.0,13250.0,7.9,36.0,debt_consolidation,22.64,RENT,2500.0,742.0,7.0,12957.0,0.5
12000.0,11875.0,10.38,60.0,credit_card,16.98,MORTGAGE,3791.67,782.0,10.0,39114.0,11.0
5200.0,5200.0,13.99,36.0,debt_consolidation,23.18,MORTGAGE,5000.0,682.0,17.0,28118.0,5.0
10000.0,10000.0,13.11,36.0,debt_consolidation,18.72,RENT,4625.0,687.0,13.0,7411.0,2.0
11700.0,11675.0,7.9,36.0,home_improvement,5.63,MORTGAGE,3320.83,722.0,11.0,14301.0,11.0
6000.0,5750.0,7.14,36.0,debt_consolidation,8.91,MORTGAGE,4500.0,762.0,10.0,4561.0,11.0
20000.0,19975.0,15.99,60.0,small_business,16.16,MORTGAGE,3750.0,702.0,9.0,19872.0,0.5
2000.0,2000.0,12.42,36.0,wedding,1.99,RENT,2518.75,677.0,5.0,985.0,7.0
4500.0,4500.0,5.99,36.0,debt_consolidation,21.46,RENT,3644.83,767.0,8.0,1058.0,0.5
20800.0,20800.0,19.22,60.0,credit_card,15.5,RENT,6916.67,682.0,20.0,28764.0,11.0
8500.0,8500.0,9.76,36.0,debt_consolidation,6.58,MORTGAGE,5333.33,707.0,10.0,3432.0,11.0
24500.0,23475.0,19.03,60.0,debt_consolidation,23.02,RENT,4497.0,682.0,13.0,18906.0,11.0
2000.0,1975.0,11.12,36.0,other,20.5,MORTGAGE,6833.33,707.0,19.0,20653.0,5.0
14400.0,14375.0,12.69,60.0,debt_consolidation,16.06,RENT,6250.0,732.0,6.0,28675.0,7.0
4800.0,4800.0,12.42,36.0,debt_consolidation,17.98,MORTGAGE,4500.0,672.0,9.0,30895.0,11.0
8325.0,8325.0,15.31,36.0,debt_consolidation,15.22,RENT,2916.67,672.0,13.0,7171.0,4.0
6600.0,3800.0,9.07,36.0,other,1.84,OWN,2667.0,742.0,16.0,4889.0,0.5
7750.0,7750.0,20.49,36.0,credit_card,9.0,MORTGAGE,2000.0,662.0,3.0,5399.0,5.0
6000.0,6000.0,14.09,36.0,credit_card,22.5,RENT,2666.67,672.0,18.0,5955.0,11.0
18000.0,18000.0,17.99,36.0,debt_consolidation,20.18,RENT,6916.67,667.0,15.0,23786.0,11.0
12000.0,12000.0,10.65,36.0,debt_consolidation,26.06,RENT,5833.33,722.0,15.0,24893.0,11.0
10000.0,10000.0,15.8,36.0,debt_consolidation,13.1,MORTGAGE,4458.33,677.0,7.0,6413.0,0.5
19500.0,19500.0,20.5,36.0,debt_consolidation,2.93,MORTGAGE,9250.0,677.0,5.0,8915.0,11.0
7000.0,7000.0,17.27,36.0,other,18.38,OWN,2464.37,667.0,9.0,7089.0,3.0
7300.0,7300.0,6.62,36.0,credit_card,20.11,MORTGAGE,3416.67,732.0,14.0,23030.0,4.0
27050.0,27050.0,17.27,60.0,credit_card,27.59,MORTGAGE,5025.0,707.0,13.0,39114.0,11.0
15000.0,14925.0,13.85,36.0,other,5.1,RENT,3000.0,707.0,4.0,5936.0,3.0
8800.0,8800.0,7.51,36.0,other,20.73,MORTGAGE,4833.0,792.0,6.0,306.0,5.0
7000.0,7000.0,7.9,36.0,wedding,20.72,RENT,6000.0,717.0,9.0,6659.0,0.5
33712.5,32125.0,21.98,60.0,debt_consolidation,23.81,MORTGAGE,11500.0,692.0,14.0,21977.0,2.0
8500.0,8500.0,15.8,36.0,debt_consolidation,17.4,RENT,2500.0,692.0,6.0,6491.0,1.0
15000.0,15000.0,10.38,36.0,debt_consolidation,16.87,MORTGAGE,6312.0,737.0,17.0,14339.0,2.0
11000.0,11000.0,6.03,36.0,debt_consolidation,12.04,MORTGAGE,5836.67,792.0,12.0,420.0,0.5
3500.0,3500.0,15.81,36.0,debt_consolidation,13.14,MORTGAGE,12041.675,667.0,8.0,11107.0,7.0
6000.0,6000.0,12.12,36.0,wedding,21.21,RENT,3333.33,687.0,8.0,4638.0,2.0
5000.0,5000.0,16.29,60.0,other,11.8,RENT,5416.67,692.0,7.0,8745.0,4.0
21200.0,21175.0,18.49,36.0,credit_card,30.62,RENT,4500.0,677.0,15.0,17250.0,11.0
33712.5,32125.0,15.31,36.0,debt_consolidation,19.59,MORTGAGE,7500.0,697.0,11.0,29953.0,1.0
4800.0,4800.0,18.75,60.0,other,27.69,RENT,1560.0,682.0,9.0,6563.0,0.5
8500.0,8500.0,6.62,36.0,debt_consolidation,4.9,MORTGAGE,4166.67,742.0,8.0,7114.0,11.0
2650.0,2650.0,7.49,36.0,debt_consolidation,21.11,OWN,1482.92,727.0,15.0,1808.0,4.0
8575.0,8575.0,15.8,36.0,debt_consolidation,34.41,MORTGAGE,4541.67,677.0,15.0,5180.0,11.0
5000.0,5000.0,14.22,36.0,other,18.73,MORTGAGE,8583.0,672.0,9.0,8097.0,1.0
13200.0,13200.0,15.31,36.0,debt_consolidation,8.61,MORTGAGE,3333.33,682.0,10.0,5400.0,11.0
10750.0,10750.0,14.09,36.0,other,26.14,RENT,2666.67,722.0,3.0,9800.0,8.0
5450.0,5450.0,13.11,36.0,medical,25.91,RENT,3500.0,672.0,9.0,7619.0,1.0
10000.0,10000.0,13.11,36.0,credit_card,3.01,MORTGAGE,9166.67,662.0,5.0,10079.0,6.0
7500.0,224.99,13.17,36.0,other,1.03,MORTGAGE,8750.0,677.0,3.0,3607.0,6.0
2400.0,2375.0,8.9,36.0,debt_consolidation,11.23,RENT,2333.33,707.0,8.0,2075.0,4.0
15300.0,14850.0,11.14,36.0,debt_consolidation,11.31,MORTGAGE,6833.33,672.0,11.0,7106.0,11.0
14000.0,14000.0,6.03,36.0,debt_consolidation,9.0,MORTGAGE,8733.33,772.0,11.0,15108.0,6.0
17325.0,17325.0,17.27,60.0,debt_consolidation,30.24,RENT,3750.0,707.0,13.0,31362.0,9.0
5400.0,5400.0,16.29,36.0,medical,20.03,RENT,2666.67,662.0,9.0,11114.0,1.0
14000.0,14000.0,16.77,36.0,credit_card,9.67,MORTGAGE,12041.675,672.0,13.0,28318.0,0.5
19125.0,19125.0,18.25,60.0,other,15.69,OWN,3333.33,692.0,8.0,7858.0,5.0
18000.0,13003.66,11.89,36.0,debt_consolidation,22.3,MORTGAGE,6000.0,747.0,16.0,23518.0,9.0
15000.0,15000.0,19.04,60.0,debt_consolidation,16.69,RENT,5250.0,682.0,7.0,8615.0,2.0
10000.0,10000.0,17.77,36.0,wedding,30.4,OWN,2500.0,667.0,5.0,8379.0,8.0
19075.0,19075.0,18.75,36.0,debt_consolidation,15.23,RENT,5166.67,672.0,17.0,13749.0,11.0
25000.0,5640.7,10.08,36.0,home_improvement,10.42,MORTGAGE,7916.67,757.0,22.0,16386.0,4.0
5600.0,5592.37,8.59,36.0,credit_card,8.34,MORTGAGE,3250.0,737.0,9.0,2639.0,5.0
2500.0,2500.0,6.76,36.0,debt_consolidation,6.99,MORTGAGE,4750.0,757.0,15.0,4658.0,4.0
10400.0,10375.0,17.58,60.0,small_business,8.93,RENT,7110.42,727.0,8.0,856.0,11.0
19750.0,19750.0,16.29,36.0,other,4.68,MORTGAGE,8333.33,702.0,9.0,11383.0,0.5
15000.0,15000.0,11.71,36.0,debt_consolidation,20.7,OWN,5416.67,707.0,20.0,25464.0,4.0
7200.0,7200.0,18.75,36.0,debt_consolidation,16.21,RENT,8333.33,662.0,8.0,28916.0,11.0
16450.0,16450.0,15.31,36.0,debt_consolidation,11.66,MORTGAGE,6666.67,687.0,8.0,12697.0,9.0
10000.0,10000.0,19.05,60.0,debt_consolidation,28.39,RENT,3726.67,697.0,22.0,10067.0,5.0
11325.0,11325.0,12.12,36.0,other,8.61,RENT,2833.33,727.0,3.0,9137.0,11.0
5000.0,4900.0,6.92,36.0,home_improvement,10.59,MORTGAGE,7083.33,757.0,9.0,0.0,1.0
10050.0,10050.0,14.33,36.0,credit_card,16.48,RENT,2500.0,692.0,7.0,13337.0,0.5
14725.0,14725.0,19.41,36.0,major_purchase,2.14,OWN,12041.675,662.0,11.0,39114.0,1.0
9000.0,9000.0,10.16,36.0,debt_consolidation,3.98,MORTGAGE,6000.0,707.0,6.0,5659.0,7.0
6000.0,6000.0,15.31,36.0,other,20.05,OWN,4891.67,672.0,17.0,10391.0,3.0
7500.0,7500.0,7.9,36.0,major_purchase,11.79,OWN,2916.67,794.5,2.0,349.0,1.0
24000.0,24000.0,14.33,36.0,credit_card,25.49,MORTGAGE,11208.33,727.0,22.0,19428.0,11.0
20000.0,19950.0,11.49,36.0,debt_consolidation,8.84,RENT,7500.0,717.0,11.0,8848.0,11.0
16750.0,16359.69,7.88,36.0,debt_consolidation,20.7,MORTGAGE,3778.67,747.0,9.0,22352.0,11.0
10075.0,10075.0,15.81,60.0,debt_consolidation,23.8,MORTGAGE,6583.33,702.0,15.0,13259.0,1.0
4800.0,4800.0,16.82,60.0,house,14.84,RENT,4008.33,662.0,18.0,8828.0,8.0
10800.0,10550.0,8.0,36.0,home_improvement,6.82,MORTGAGE,11250.0,792.0,7.0,10232.0,0.5
33712.5,24868.47,17.99,60.0,home_improvement,6.39,MORTGAGE,12041.675,717.0,7.0,3936.0,11.0
9000.0,9000.0,6.62,36.0,other,16.14,RENT,3333.33,742.0,10.0,8689.0,6.0
8400.0,8400.0,5.99,36.0,credit_card,8.7,OWN,3000.0,752.0,6.0,6215.0,2.0
7000.0,7000.0,12.12,36.0,debt_consolidation,12.49,RENT,5166.67,677.0,12.0,10513.0,6.0
8400.0,8400.0,13.67,36.0,credit_card,17.0,RENT,4583.33,697.0,14.0,20318.0,5.0
12000.0,12000.0,7.9,36.0,credit_card,13.18,OWN,5833.33,727.0,8.0,9866.0,4.0
23500.0,23500.0,19.22,36.0,credit_card,20.37,RENT,6800.0,672.0,17.0,31812.0,2.0
10000.0,10000.0,15.31,36.0,credit_card,27.71,RENT,3750.0,682.0,19.0,19385.0,3.0
15000.0,15000.0,16.29,36.0,credit_card,10.67,RENT,5000.0,667.0,14.0,13611.0,4.0
6200.0,6200.0,18.64,60.0,credit_card,10.61,MORTGAGE,4250.0,672.0,9.0,5936.0,9.0
16000.0,15975.0,13.43,60.0,major_purchase,6.8,MORTGAGE,5000.0,747.0,10.0,1132.0,0.5
8800.0,8350.0,9.63,36.0,wedding,4.89,MORTGAGE,5479.0,757.0,5.0,6055.0,6.0
20000.0,13000.0,11.97,36.0,other,18.96,MORTGAGE,7501.0,707.0,17.0,17212.0,1.0
10000.0,10000.0,13.11,36.0,credit_card,7.23,MORTGAGE,3333.33,702.0,6.0,10793.0,1.0
20000.0,19950.0,10.75,36.0,debt_consolidation,11.37,RENT,8416.67,742.0,10.0,12283.0,3.0
5500.0,5450.0,18.67,60.0,debt_consolidation,17.71,RENT,1750.0,662.0,6.0,4492.0,2.0
4000.0,4000.0,6.03,36.0,car,13.03,RENT,2916.67,752.0,7.0,2860.0,5.0
16000.0,16000.0,14.09,36.0,debt_consolidation,2.85,MORTGAGE,3333.33,692.0,6.0,3909.0,7.0
27825.0,27825.0,23.76,60.0,debt_consolidation,12.86,RENT,6250.0,667.0,16.0,27093.0,4.0
12250.0,12250.0,19.03,60.0,debt_consolidation,23.18,MORTGAGE,6550.0,662.0,15.0,22493.0,3.0
16800.0,16800.0,16.4,36.0,debt_consolidation,7.02,MORTGAGE,6666.67,677.0,8.0,16211.0,0.5
18775.0,18775.0,10.16,36.0,debt_consolidation,25.33,MORTGAGE,5850.0,717.0,20.0,27573.0,3.0
8000.0,7850.0,15.33,36.0,debt_consolidation,16.04,MORTGAGE,6416.67,677.0,8.0,25573.0,6.0
5000.0,5000.0,14.27,36.0,debt_consolidation,17.0,OWN,5000.0,672.0,9.0,14748.0,1.0
